form_germany_from_danzig_title;Three Hurrahs For Germany!;;;;;;;;;x;;;;
form_germany_from_danzig_desc;By controlling, directly or indirectly, the manifold principalities, duchies and free cities that make up the German Nation, we can unite our people into one singular nation state. Three Hurrahs for the German Empire!;;;;;;;;;;x;;;;
form_germany_from_bohemia_title;Three Hurrahs For Germany!;;;;;;;;;x;;;;
form_germany_from_bohemia_desc;By controlling, directly or indirectly, the manifold principalities, duchies and free cities that make up the German Nation, we can unite our people into one singular nation state. Three Hurrahs for the German Empire!;;;;;;;;;;x;;;;
Become_Prussia_title;Let us dye them in Prussian Blue!;;;;;;;;;x;;;;
Become_Prussia_desc;After reclaiming the territories that our ancestors lost to the Polish and Scandinavian invaders it is time to proclaim the Kingdom Of Prussia and unite the German people! Long Live the Kaiser!;;;;;;;;;;x;;;;
form_france_title; Je suis Francais!;;;;;;;;;x;;;;
NDY1.T;The Norman war of independence;;;;;;;;;;;;;
NDY1.D;After centuries of oppression, the Norman and Breton duchies are finally breaking free from our Nordic rulers who have looked down on us and treated us like we're scum. Now, the time to fight for our freedom has come! Normandy will not be ruled by Scandinavian pigs! We will let our old oppressors know that we are descendants of the great Carolingian Empire!;;;;;;;;;;;;;
NDY1.A;Long live Normandy!;;;;;;;;;;;;;
DEN1.T;Normans break free!;;;;;;;;;;;;;
DEN1.D;What a bunch of traitors! At first we took it as a joke, but these so-called "succesors of Carolingia" seriously believe they can defeat our noble Scandinavian spirit! Let us embark on ships like we did in the old Viking days and teach those bastards a lesson!;;;;;;;;;;;;;
DEN1.A;Death to traitors!;;;;;;;;;;;;;
DEN2.T;Norman separatists defeated!;;;;;;;;;;;;;
DEN2.D;As the Scandinavian cross rises above the coast of the fake Carolingians, we prove to Europe once again that Viking blood still flows in our veins and none shall question our rule!;;;;;;;;;;;;;
DEN2.A;Glory to Scandinavia!;;;;;;;;;;;;;
DEN3.T;Sweden demands Brittany;;;;;;;;;;;;;
DEN3.D;After crushing the Norman uprising we conquered Breton lands, which belonged to Sweden before the conflict. Now, they expect us to return it to them. Of course, the last say belongs to you, King.;;;;;;;;;;;;;
DEN3.A;Our Swedish brethren can have it.;;;;;;;;;;;;;
DENa3.A;Danish blood was spilled conquering these territories! We will not let our fallen soldiers' sacrifice be wasted!;;;;;;;;;;;;;
EN1.T;Normans break free!;;;;;;;;;;;;;
DEN1.D;What a bunch of traitors! At first we took it as a joke, but these so-called "succesors of Carolingia" seriously believe they can defeat our noble Scandinavian spirit! Let us embark on ships like we did in the old Viking days and teach those bastards a lesson!;;;;;;;;;;;;;
DEN1.A;Death to traitors!;;;;;;;;;;;;;
SWE1.T;Normans break free!;;;;;;;;;;;;;
SWE1.D;What a bunch of traitors! At first we took it as a joke, but these so-called "succesors of Carolingia" seriously believe they can defeat our noble Scandinavian spirit! Let us embark on ships like we did in the old Viking days and teach those bastards a lesson!;;;;;;;;;;;;;
SWE1.A;Death to traitors!;;;;;;;;;;;;;
SWE2.T;Norman separatists defeated!;;;;;;;;;;;;;
SWE2.D;As the Scandinavian cross rises above the coast of the fake Carolingians, we prove to Europe once again that Viking blood still flows in our veins and none shall question our rule!;;;;;;;;;;;;;
SWE2.A;Glory to Scandinavia!;;;;;;;;;;;;;
lot_cores_title;Return Italia;;;;;;;;;;;;;
lot_cores_desc;Return Italia;;;;;;;;;;;;;
lot_vnc_title;Return Venice;;;;;;;;;;;;;
lot_vnc_desc;Return Venice;;;;;;;;;;;;;
lot_cores_title;Return Italia;;;;;;;;;;;;;
lot_cores_desc;Return Italia;;;;;;;;;;;;;
invade_BOH_title;Conquer Bohemia;;;;;;;;;;;;;
invade_BOH_desc;Conquer Bohemia;;;;;;;;;;;;;
core_BOH_title;Integrate Bohemia;;;;;;;;;;;;;
core_BOH_desc;We have conquered the Bohemians with relative ease. After installing a puppet government there, the next step is to integrate the terrains into our Empire. We do not expect any backlash from the Czechs, since the taste of defeat is still in their mouths and the amount of lives lost in the war will prevent them from standing up to us.;;;;;;;;;;;;;
ang_cores_title;Our Provence;;;;;;;;;;;;;
ang_cores_desc;Our Provence;;;;;;;;;;;;;
REVLT1.T;Our politics in Britannia;;;;;;;;;;;;;
REVLT2.T;Creation of a new settlement;;;;;;;;;;;;;
REVLT3.T;Britannians create revolutionary cell!;;;;;;;;;;;;;
REVLT4.T;Our settlement has been attacked!;;;;;;;;;;;;;
REVLT5.T;New collaborant administration in Britannia;;;;;;;;;;;;;
REVLT6.T;Britannians rise to arms!;;;;;;;;;;;;;
REVLT7.T;The Anglish rise to arms!;;;;;;;;;;;;;
REVLT8.T;Ireland and Wales rise to arms!;;;;;;;;;;;;;
REVLT9.T;Scotland rises to arms!;;;;;;;;;;;;;
REVLT1.D;With the recent liberal revolutions engulfing the world, our hold on Britannia has become unstable. Local populace tends to unite more and more around the idea of independence. We have two options: to favour local collaborationists and try to ease the tensions, or to embrace old Viking ways and start settling these isles.;;;;;;;;;;;;;
REVLT2.D;Great news! Some folks from Scandianavia have gathered enough funds to estabilish first nordic settlements in Britannia! Now, the only thing we need to worry about is the unrest of the locals.;;;;;;;;;;;;;
REVLT3.D;The separatists aren't even hiding anymore and have created the first local independence organisation. As things become more chaotic, we can only hope that they will not spread their ideas further.;;;;;;;;;;;;;
REVLT4.D;It's outrageous! The local population, furious about our settlement programs has started violent actions against our fellow Scandinavians! Now, we must choose between cancelling local settlement funding or standing up to the Britannian nationalists.;;;;;;;;;;;;;
REVLT5.D;Finally, Britannians have started to understand their place in the world! We have finally managed to gather enough local support to establish a local collaborationist government.;;;;;;;;;;;;;
REVLT6.D;It's a disaster! Despite our best efforts, these goddamned Bretannians have started preparing their independent government. Local referenda are being held and militias organised. Now, we must prepare troops to suppress them!;;;;;;;;;;;;;
REVLT7.D;The Anglish were always very unruly, but today they have crossed the line and declared their independence! Now, we must show them the Scandianavian might and force them into submission, once and for all!;;;;;;;;;;;;;
REVLT8.D;It was not unexpected that lands that always were so disconnected from us sooner or later would rebel. But fortunately, we have a huge Swedish population in the north of the country that we can use as our holding there to restore control.;;;;;;;;;;;;;
REVLT9.D;We were unfortunate enough to get probably the most rebellious people of Britannia as our main colony here,so an open rebellion was only a matter of time. But luckily, the Highlands are not very well developed, so once we actually manage to land here it won't be much of a problem to defeat them.;;;;;;;;;;;;;
REVLT1.A;We need to settle region with Scandinavians!;;;;;;;;;;;;;
REVLT1a.A;Perhaps we need to support collabrationists.;;;;;;;;;;;;;
REVLT2.A;To the Westland!;;;;;;;;;;;;;
REVLT3.A;Do something about it!;;;;;;;;;;;;;
REVLT4.A;Evacuate settlers immediately!;;;;;;;;;;;;;
REVLT4a.A;Stand our ground!;;;;;;;;;;;;;
REVLT5.A;Very obedient of them;;;;;;;;;;;;;
REVLT6.A;Get our troops ready!;;;;;;;;;;;;;
REVLT7.A;Death to separatists!;;;;;;;;;;;;;
REVLT7a.A;Death to occupants!;;;;;;;;;;;;;
REVLT8.A;Death to separatists!;;;;;;;;;;;;;
REVLT8a.A;Death to occupants!;;;;;;;;;;;;;
REVLT9.A;Death to separatists!;;;;;;;;;;;;;
REVLT9a.A;Death to occupants!;;;;;;;;;;;;;
ENG1.T;Angleseren issue;;;;;;;;;;;;;
ENG2.T;Our Wales;;;;;;;;;;;;;
ENG3.T;Northumbrian problem;;;;;;;;;;;;;
ENG4.T;Referendum to join Anglia?;;;;;;;;;;;;;
ENG5.T;We won the independence war!;;;;;;;;;;;;;
ENG6.T;Scottish rights?;;;;;;;;;;;;;
ENG7.T;Fate of Anglia;;;;;;;;;;;;;
ENG1.D;Angleserens are Scandinavian people that have settled in our lands a long time ago and created a new culture. Of course, there is a large debate taking place regarding them. The Anglish populace of course wants to fully expell them, but as they embraced many Bretannian traditions it may be wise to recognise them.;;;;;;;;;;;;;
ENG2.D;Ah, Wales, land that was not affected by Scandinavian colonisation very much. With consolidation of our core lands the Welsh now see us as liberators and we can rule here as we please.;;;;;;;;;;;;;
ENG3.D;Northumbrians are a bizzare identity that formed due to regionalism and mixing between Anglish and Danish. Hardline Anglish nationalists want to end their culture, calling them traitors of the Anglis nation, but their culture is very close to Anglish, so maybe it's unnecessary to cause more violence over some dialects?;;;;;;;;;;;;;
ENG4.D;So, the day has come, our Anglish brethern succesefuly rebelled! Many of our people are calling for a referendum to unite with them. Maybe it's a logical move, but northumbrian conservatives and nationalists express fear for destruction of our identity in Anglia. So, what should we do?;;;;;;;;;;;;;
ENG5.D;We finally expelled Scandinavian occupants from our lands! It's unbeliveble that after all these years of oppression we are finally free and can speak our language without supervision! Now, let's get some beer and start celebrations!;;;;;;;;;;;;;
ENG6.D;The Scotts have always wanted their local culture to be independent, and it would be very hard to crush them, so our intellectuals proposed a project to accept their culture. However, Anglish nationalists call for the settlement of the region. We have to decide the fate of those unruly northerners.;;;;;;;;;;;;;
ENG7.D;With our independence after celebrations comes big problems, main of whic is our destiny. No, we are not just some proud nation-state, we destined to be greater than this! Main narrative of nationalists is to obviously unite Britannia under our rule, but some crazy intellectauls proposed to restore idea of Angevin state of Anglo-French, which actually can be a possibility due to coming independence war of Normandy and general chaos of France.;;;;;;;;;;;;;
ENG1.A;Expel them to Denmark;;;;;;;;;;;;;
ENG1a.A;Just let them be;;;;;;;;;;;;;
ENG1b.A;We should recognise their culture;;;;;;;;;;;;;
ENG2.A;Land of Anglia!;;;;;;;;;;;;;
ENG3.A;Northumbrians should be respected;;;;;;;;;;;;;
ENG3.A;Start anglification!;;;;;;;;;;;;;
ENG4.A;Let us join our brothers!;;;;;;;;;;;;;
ENG4a.A;Northumbria is independent!;;;;;;;;;;;;;
ENG5.A;Glory to Britannia!;;;;;;;;;;;;;
ENG6.A;Don't bother them;;;;;;;;;;;;;
ENG6a.A;Settle the north with Anglish!;;;;;;;;;;;;;
ENG7.A;Britannia is our destiny!;;;;;;;;;;;;;
ENG7a.A;The Angevin dream will come true!;;;;;;;;;;;;;
eng_decision_title;Our fate;;;;;;;;;;;;;
invade_scotland_title;Return Scotland;;;;;;;;;;;;;
invade_ireland_title;Conquer the Irish;;;;;;;;;;;;;
invade_norman_title;Norman opportunity;;;;;;;;;;;;;
invade_orlean_title;Subdue Orleans;;;;;;;;;;;;;
invade_BGU_title;Subdue Burgundy;;;;;;;;;;;;;
invade_PRV_title;Subdue Provence;;;;;;;;;;;;;
form_angevin_eng_title;Anglo-French unity;;;;;;;;;;;;;
form_angevin_eng_desc;With most of French lands under our control, we can finally embrace Angevin unity! They called us crazy and dreamers, but we had the last laugh! With the proper nation-merger empire now we may start to rule all over the western Europe!;;;;;;;;;;;;;
form_rip_off_of_dod_title;Anglo-French unity;;;;;;;;;;;;;
form_rip_off_of_dod_desc;With most of Bretannian lands under our control, we finally can embrace Angevin unity! They called us crazy and dreamers, we had the last laugh! With the proper nation-merger empire now we may start to rule all over the western Europe!;;;;;;;;;;;;;
eng_decision_desc;So, with our independence, let the debate about our path to be started!;;;;;;;;;;;;;
eng_decision_title;Our Fate;;;;;;;;;;;;;
invade_scotland_desc;For far too long have the Scottish neglected their place in our nation! This cannot continue, we have to unite our Island!;;;;;;;;;;;;;
invade_scotland_title;Invade Scotland;;;;;;;;;;;;;
invade_ireland_desc;With the Scottish in our palm, we can fulfill the dream of United Britannia and secure all of our islands.;;;;;;;;;;;;;
invade_ireland_title;Invade Ireland;;;;;;;;;;;;;
invade_norman_title;The invasion of Normandy;;;;;;;;;;;;;
invade_norman_desc;Normandy will surely prove to be a very important strategic stronghold. Winning against them will ensure our dominance in the region and bring us closer to the Angevin dream!;;;;;;;;;;;;;
invade_orlean_title;Subdue Orleans;;;;;;;;;;;;;
invade_orlean_desc;Using our hold in Normandy, we can start unifying Angevin, and we need Orleans in order to get a proper frontier with Burgundy and Provence.;;;;;;;;;;;;;
invade_BGU_title;Subdue Burgundy;;;;;;;;;;;;;
invade_BGU_desc;Angevin is not far away! Now we can go eastward and subdue Burgundians.;;;;;;;;;;;;;
invade_PRV_desc;The lands of Provence are rightful Angevin lands, incorporating them into our country is a must.;;;;;;;;;;;;;
invade_cro_title;Conquer Croatia;;;;;;;;;;;;;
invade_cro_desc;Croats consider themselves to be more similar to Germans than to Slavs. We are sure that conquering them will be easy and we will get a nice outpost in the Balkans.;;;;;;;;;;;;;
invade_sie_title;Conquer Transilvania;;;;;;;;;;;;;
invade_sie_desc;Transilvania is a new emerging power in the Balkans. Of course, their mountainous landscape would be a big problem during a war, but destroying them as soon as possible should circumvent that issue.;;;;;;;;;;;;;
invade_kra_title;Conquer Galicia-Lodomeria;;;;;;;;;;;;;
invade_kra_desc;Galicia is a territory inhabited by both Poles and Ukrainians. They need to be supervised to avoid any further ethnic conflicts, and our Empire can help them with that.;;;;;;;;;;;;;
invade_CZE_title;Conquer Bohemia;;;;;;;;;;;;;
invade_CZE_desc;Conquer Bohemia;;;;;;;;;;;;;
invade_mag_title;Conquer Hungary;;;;;;;;;;;;;
invade_mag_desc;Hungary shall be our first target in the eastern expansion. Their location will prove to be a nice place to start further conquests, and due to how many Hungarians there are outside their home country we can use their nationalism to our advantage.;;;;;;;;;;;;;
ven_war_title;Great Venetian War;;;;;;;;;;;;;
ven_war_desc;After unifying the lands on the Danube we can challenge our greatest rivals - Venetia! They have far too many holdings in the Balkans that block us from getting access to the sea. Winning the war means that we will become the most significant power in the region.;;;;;;;;;;;;;
ser_war_title;Conquer Serbia;;;;;;;;;;;;;
ser_war_desc;Serbia is the last Slavic state in the region. By conquering them, we can unite all Serbo-croats under our Empire thus completely destroying Panslavic dreams.;;;;;;;;;;;;;
AUS1.T;Austrian fate;;;;;;;;;;;;;
AUS1.D;Austria has always been a prosperous state that lacked a greater purpose. So today, the Kaiser has assembled the Reichsrat to discuss our further goals. A new rising movement of German nationalists has proposed to adopt Pangermanic Ideals and start working under the banner of a  'South German Federation'. However, there are a lot of imperialists who have started making plans of a 'Danubian Federation' long ago that will unite various eastern european people under our Flag.\n Warning: currently danubian path has the most flavour so it's recommeded to choose it.;;;;;;;;;;;;;
AUS1.A;We need to unite southern germans!;;;;;;;;;;;;;
AUS1a.A;Danubian destiny for us!;;;;;;;;;;;;;
AUS2.T;The Transdanubian question;;;;;;;;;;;;;
AUS2.D;Transdanubia is a region that is equally populated by Germans and Hungarians. As a result of the recent unification of the two countries emerged a question of returning it to Hungary. Of course, this will show Hungarians that we are friends to them, but German nationalists will be outraged by this and demand that the region remain in Austria.;;;;;;;;;;;;;
AUS2.A;We should befriend hungarians.;;;;;;;;;;;;;
AUS2a.A;Not a single piece of land to parasites!;;;;;;;;;;;;;
AUS3.T;The Croatian question;;;;;;;;;;;;;
AUS3.D;Many problems with Panslavism arose recently. Many people fear that the Slavic state in our realm can hurt our unity so they proposed to give it to Hungarians so they will keep Slavs under control. Others, however, suggest that we should adopt Panslavic ideas to some extent and promote Slavic cultures.;;;;;;;;;;;;;
AUS3.A;They will be obedient under hungarians...;;;;;;;;;;;;;
AUS3a.A;...But I have a bad feeling about Bosnia in future.;;;;;;;;;;;;;
AUS4.T;The Transilvanian question;;;;;;;;;;;;;
AUS4.D;Transilvania is a region population which consists of Hungarians, Romanians and old German migrants. Keeping Transilvania autonomous will allow all nationalities to get representation, but, of course, giving it to Hungary will ensure that we have full control of Romanians.;;;;;;;;;;;;;
AUS4.A;We must prevent Romanian nationalism.;;;;;;;;;;;;;
AUS4a.A;We will try to appease romanians.;;;;;;;;;;;;;
AUS5.T;Return of Romanian lands;;;;;;;;;;;;;
AUS5.D;Transilvania managed to expand before our conquest. Keeping their newly occupied territories can be seen as an unjustified act, should we give them independence?;;;;;;;;;;;;;
AUS5.A;Of course!;;;;;;;;;;;;;
AUS5a.A;It's our land now!;;;;;;;;;;;;;
AUS6.T;The Czech question;;;;;;;;;;;;;
AUS6.D;Czechs were always a big pain for Germans. Far too long they kept German ethnical lands, oppressing our brethren. To ensure assimilation of these filthy Slavs our Kaiser's noble advisors have proposed to murder Bohemian aristocrats so that their nation will lose direction making them an easy target to germanise.;;;;;;;;;;;;;
AUS6.A;Death to the rats!;;;;;;;;;;;;;
AUS6a.A;We shouldn't create any further ethnic conflicts.;;;;;;;;;;;;;
AUS6.T;The Galician-Lodomerian question;;;;;;;;;;;;;
AUS6.D;Galicia-Lodomeria already has many conflicts between Poles and Ruthenians. It opens up a lot of possibilities to us. We can either use it to our advantage or try to lower the tensions between the two ethnicities.;;;;;;;;;;;;;
AUS6.A;Prevent any ethnic conflicts!;;;;;;;;;;;;;
AUS6a.A;Favour Poles.;;;;;;;;;;;;;
AUS6b.A;Favour Ruthenians.;;;;;;;;;;;;;
AUS6c.A;Who said that ANY of them can have rights?;;;;;;;;;;;;;
AUS7.T;Swiss revolt!;;;;;;;;;;;;;
AUS7.D;Our hold on Helvetia was always very fragile, but now things have spiraled out of control, and the Swiss held referenda which either declared independence or ceded land to our 'good' neighbors. With general recoginiton of a new state coming in, it might be wise to completely withdraw out of the cursed mountain lands.;;;;;;;;;;;;;
AUS7.A;Let us recognise them before they cause any trouble.;;;;;;;;;;;;;
AUS7a.A;Bring these lands back under our control!;;;;;;;;;;;;;
AUS8.T;Peace treaty with Venice;;;;;;;;;;;;;
AUS8.D;Wonderful! We have managed to completely subjugate Venice thus forcing them out of their mainland completely! Now, as they think of what they did in exile, we can start reorganising the new lands.;;;;;;;;;;;;;
AUS8.A;Glory to Danubia!;;;;;;;;;;;;;
AUS9.T;We have lost!;;;;;;;;;;;;;
AUS9.D;HOW, HOW, HOW?! They are forcing us out of the mainland! We are exiled! Fuck all the generals who said that we easily can win this!;;;;;;;;;;;;;
AUS9.A;FUCK;;;;;;;;;;;;;
AUS10.T;The Italian question;;;;;;;;;;;;;
AUS10.D;We might have conquered more than we can handle. To show Italians that we don't want to destroy their national identity we can grant autonomy to Lombardia and recognise their culture.;;;;;;;;;;;;;
AUS10.A;We shouldn't provoke any wars of independence.;;;;;;;;;;;;;
AUS10a.A;These dirty pigs will obey us!;;;;;;;;;;;;;
AUS11.T;Germanisation of Italians;;;;;;;;;;;;;
AUS11.D;After the recent Venetian campaign we can finally start promoting our culture in the south.;;;;;;;;;;;;;
AUS11.A;Hail Osterreich!;;;;;;;;;;;;;
AUS12.T;Germanisation of Dalmatian slavs;;;;;;;;;;;;;
AUS12.D;After the recent Venetian campaign we can finally start promoting our culture in the south.;;;;;;;;;;;;;
AUS12.A;Hail Osterreich!;;;;;;;;;;;;;
AUS13.T;The Serbian question;;;;;;;;;;;;;
AUS13.D;With Serbia being a part of our realm we can decide their fate. Due to the fact that many Serbs, unlike Croats, demand to keep their national identity, but of course we can integrate them as usual.;;;;;;;;;;;;;
AUS13.A;Save their autonomy.;;;;;;;;;;;;;
AUS13a.A;Prinz Eugene is looking at us!;;;;;;;;;;;;;
AUS14.T;Germanisation of serbs;;;;;;;;;;;;;
AUS14.D;Finally, we have subdued the furthest corner of Serbo-croats.;;;;;;;;;;;;;
AUS14.A;Hail Osterreich!;;;;;;;;;;;;;
DNB1.T;Recognition of Hungarians;;;;;;;;;;;;;
DNB1.D;Due to our handling of their status in the past we can manage them properly now.;;;;;;;;;;;;;
DNB1.A;Hail Osterreich!;;;;;;;;;;;;;
DNB2.T;Germanisation of Hungarians;;;;;;;;;;;;;
DNB2.D;Due to our handling of their status in the past we can manage them properly now.;;;;;;;;;;;;;
DNB2.A;Hail Osterreich!;;;;;;;;;;;;;
DNB3.T;Germanisation of southern Slavs;;;;;;;;;;;;;
DNB3.D;Due to our handling of their status in the past we can manage them properly now.;;;;;;;;;;;;;
DNB3.A;Hail Osterreich!;;;;;;;;;;;;;
DNB4.T;Recognition of southern Slavs;;;;;;;;;;;;;
DNB4.D;Due to our handling of their status in the past we can manage them properly now.;;;;;;;;;;;;;
DNB4.A;Hail Osterreich!;;;;;;;;;;;;;
DNB5.T;Recognition of Romanians;;;;;;;;;;;;;
DNB5.D;Due to our handling of their status in the past we can manage them properly now.;;;;;;;;;;;;;
DNB5.A;Hail Osterreich!;;;;;;;;;;;;;
DNB6.T;Germanisation of Romanians;;;;;;;;;;;;;
DNB6.D;Due to our handling of their status in the past we can manage them properly now.;;;;;;;;;;;;;
DNB6.A;Hail Osterreich!;;;;;;;;;;;;;
DNB7.T;Germanisation of Czechs;;;;;;;;;;;;;
DNB7.D;Due to our handling of their status in the past we can manage them properly now.;;;;;;;;;;;;;
DNB7.A;Hail Osterreich!;;;;;;;;;;;;;
DNB8.T;Recognition of Czechs;;;;;;;;;;;;;
DNB8.D;Due to our handling of their status in the past we can manage them properly now.;;;;;;;;;;;;;
DNB8.A;Hail Osterreich!;;;;;;;;;;;;;
DNB9.T;Recognition of Poles and Ruthenians;;;;;;;;;;;;;
DNB9.D;Due to our handling of their status in the past we can manage them properly now.;;;;;;;;;;;;;
DNB9.A;Hail Osterreich!;;;;;;;;;;;;;
DNB10.T;Recognition of Poles and germanisation of Ruthenians;;;;;;;;;;;;;
DNB10.D;Due to our handling of their status in the past we can manage them properly now.;;;;;;;;;;;;;
DNB10.A;Hail Osterreich!;;;;;;;;;;;;;
DNB11.T;Recognition of Ruthenians and germanisation of Poles;;;;;;;;;;;;;
DNB11.D;Due to our handling of their status in the past we can manage them properly now.;;;;;;;;;;;;;
DNB11.A;Hail Osterreich!;;;;;;;;;;;;;
DNB12.T;Germanisation of Poles and Ruthenians;;;;;;;;;;;;;
DNB12.D;Due to our handling of their status in the past we can manage them properly now.;;;;;;;;;;;;;
DNB12.A;Hail Osterreich!;;;;;;;;;;;;;
WAL1T;Return of the territories;;;;;;;;;;;;;
AUS_danube_title;Unite Danube;;;;;;;;;;;;;
AUS_danube_desc;After conquering vast eastern lands we can finally unite the Danube! Now, we will advance east, to our new destiny!;;;;;;;;;;;;;
great_BOH_title;Great Bohemian War;;;;;;;;;;;;;
great_BOH_desc;Bohemians may be pretty tolerant towards Germans, but that's not stopping them from settling in our lands and undermining the German state. That cannot continue! We will liberate our people and start a great journey towards the greater Prussian destiny!;;;;;;;;;;;;;
assim_BOH_title;Germanise Czechs;;;;;;;;;;;;;
assim_BOH_desc;Finally, we have liberated our German brethren! Sadly, many Slavic migrants are still present in the territories, but we will make sure they speak German!;;;;;;;;;;;;;
assim_WPL_title;Germanise western Poles;;;;;;;;;;;;;
assim_WPL_desc;Western Poland, or as we recently like to call it 'eastern Germany' is a region which is evenly populated by Slavs and Germans. We don't need to be harsh towards them, we just need to enact German assimilation programs to ensure that we will become a majority here.;;;;;;;;;;;;;
ger_rev_title;Support a revolution in Danzig;;;;;;;;;;;;;
ger_rev_desc;Danzigers were too weak to start subduing Poles withing their territories. Enough! With the help of some funds we can support our loyalists there in order not to spill too much blood and get a more valid justification.;;;;;;;;;;;;;
PRU_form_title;Form Prussia;;;;;;;;;;;;;
PRU_form_desc;After glorious victories against Slavs and inferior Germans we can fulfill our Prussian dream! Now we can start seriously expanding beyond German borders and even challenge Swedish occupants.;;;;;;;;;;;;;
expnd_blt_title;Expand the United Baltic Duchy;;;;;;;;;;;;;
expnd_blt_desc;We have completed our expansion program in the East! Now that we can formally give lands to our baltic protectorate, we can finally start settling new lands. Of course, our struggle against eastern barbarians will be endless, but we will prevail! Glory to Prussia!;;;;;;;;;;;;;
ger_rev2_title;Support a revolution in Pomerania;;;;;;;;;;;;;
ger_rev2_desc;Swedish are certainly not an easy target, but our prussian spirit is high so we can kick out oppresors from the Germany once and for all!;;;;;;;;;;;;;
pol_conq_title;Conquer lithuanian Poland;;;;;;;;;;;;;
pol_conq_desc;These stupid slavs somehow managed to be conquered by lithuanian, what a joke! Nevertheless, we must seize opportunity to strike an unstable state of Lithuania and bring poles into our fold.;;;;;;;;;;;;;
assim_POL_title;Germanise and settle Poland;;;;;;;;;;;;;
